# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
2023-12-31 19:00:00,INfY3kYr,6-2 - Apple TV,Smart Plug,,,,0.155,0.000
2023-12-31 19:00:00,ZQgkmbm9,6-3,Smart Plug,,,,0.004,0.000
2023-12-31 19:00:00,H6qTQUtY,frontdoorlight,Smart Plug,,,,0.444,0.000
2023-12-31 19:00:00,UsT4jYTY,"Hot water ",Smart Plug,,,,13.963,0.014
2023-12-31 19:00:00,CkDVQDrb,Bathroom Led,Smart Plug,,,,0.504,0.001
2023-12-31 19:00:00,NUa8XR79,"Mini Fridge ",Smart Plug,,,,0.320,0.000
2023-12-31 19:00:00,T5QgvHdg,1-6 - Hub,Smart Plug,,,,1.212,0.001
2023-12-31 19:00:00,g33Phtuz,Fridge,Smart Plug,,,,58.662,0.059
2023-12-31 19:00:00,jXf1rXPK,OptiMist,Smart Plug,,,,0.006,0.000
2023-12-31 19:00:00,tTMgrLYY,"2-3 UV ",Smart Plug,,,,39.161,0.039
2023-12-31 19:00:00,0xuqZnaG,2-2 sub pump,Smart Plug,,,,0.855,0.001
2023-12-31 19:00:00,BYAGpdS2,Garage,Smart Plug,,,,4.388,0.004
2023-12-31 19:00:00,Qpx8btwV,MasterBedroom Plug,Smart Plug,,,,0.826,0.001
2023-12-31 19:00:00,DnC2WeoP,Washer,Smart Plug,,,,0.008,0.000
2023-12-31 19:00:00,B46U8aYU,Front Room,Smart Plug,,,,3.612,0.004
2023-12-31 19:00:00,FJAoFYmy,1-3 - Host 2,Smart Plug,,,,0.011,0.000
2023-12-31 19:00:00,genRkje3,6-5 Wifi,Smart Plug,,,,7.034,0.007
2023-12-31 19:00:00,GzdITuA3,Side Garage,Smart Plug,,,,3.743,0.004
2023-12-31 19:00:00,DzRXlfw9,1-2,Smart Plug,,,,53.915,0.054
2023-12-31 19:00:00,always_on,Always On,Always On,,,,283.000,0.283
2023-12-31 19:00:00,yKe4nWHQ,1-5 - Host 1,Smart Plug,,,,13.348,0.013
2023-12-31 19:00:00,06auzWgQ,Backyard,Smart Plug,,,,1.188,0.001
2023-12-31 19:00:00,WMBobdaQ,Robo Vacuum,Smart Plug,,,,2.986,0.003
2023-12-31 19:00:00,hiqvdUXO,Main Kitchen,Smart Plug,,,,0.229,0.000
2023-12-31 19:00:00,2MWspPfA,basementlivingroom,Smart Plug,,,,17.555,0.018
2023-12-31 19:00:00,KqnnB036,Storage,Smart Plug,,,,2.459,0.002
2023-12-31 19:00:00,ssi-83f71057,Switch LEDs,Smart Plug,,,,35.000,0.035
2023-12-31 19:00:00,747b19bf,Garage door,Garage Door,,,"Basement ",1.116,0.001
2023-12-31 19:00:00,ssi-55115a66,Dreame Vacuum,Smart Plug,,,,3.000,0.003
2023-12-31 19:00:00,1fRxtFQK,Coat Closet,Smart Plug,,,,0.208,0.000
