DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
2023-01-01 00:00:00,9v4rivDr,Dryer,Smart Plug,,,,4.433,0.106
2023-01-01 00:00:00,VAZPIZIO,Front Room,Smart Plug,,,,6.894,0.165
2023-01-01 00:00:00,70e9128c,Coffee Maker,Coffee Maker,,,,10.021,0.240
2023-01-01 00:00:00,P84WISUk,Well,Smart Plug,,,,0.110,0.003
2023-01-01 00:00:00,XC9gaZGa,Basement Light,Smart Plug,,,,18.914,0.454
2023-01-01 00:00:00,1b0bHMw6,Epson,Smart Plug,,,,33.051,0.793
2023-01-01 00:00:00,ssi-c71c6dc4,Storage,Smart Plug,,,,0.199,0.005
2023-01-01 00:00:00,U5SWNKI4,4-5 - Stereo,Smart Plug,,,,7.932,0.190
2023-01-01 00:00:00,z76cRl8J,1-5 - Host 1,Smart Plug,,,,14.321,0.344
2023-01-01 00:00:00,2SmR8dsi,Bathroom Fan,Smart Plug,,,,0.239,0.006
2023-01-01 00:00:00,ssi-590228b6,Side,Smart Plug,,,,0.219,0.005
2023-01-01 00:00:00,iEoljTKI,Heat Main,Smart Plug,,,,8.342,0.200
2023-01-01 00:00:00,aGs94wE5,"1-1 ",Smart Plug,,,,2.267,0.054
2023-01-01 00:00:00,r8rYgPnU,Martha Vacuum,Smart Plug,,,,3.684,0.088
2023-01-01 00:00:00,ssi-d678614e,Office Light,Smart Plug,,,,3.338,0.080
2023-01-01 00:00:00,AEI815uW,BackYard,Smart Plug,,,,0.301,0.007
2023-01-01 00:00:00,ssi-36ac867c,FrontYard,Smart Plug,,,,0.194,0.005
2023-01-01 00:00:00,CIPjCHGl,Robo Vacuum,Smart Plug,,,,2.988,0.072
2023-01-01 00:00:00,8x3v0XBW,Side Garage,Smart Plug,,,,0.478,0.011
2023-01-01 00:00:00,yUbJpilW,Dinning Room,Smart Plug,,,,2.330,0.056
2023-01-01 00:00:00,JvNxmASZ,Bathroom 3,Smart Plug,,,,3.220,0.077
2023-01-01 00:00:00,XFrm9PsE,Bathroom Sink,Smart Plug,,,,4.040,0.097
2023-01-01 00:00:00,saKIIkl4,"Hot water ",Smart Plug,,,,9.183,0.220
2023-01-01 00:00:00,VVWTpCS7,Storage Closet,Smart Plug,,,,0.655,0.016
2023-01-01 00:00:00,I532AMwu,6-2 - Apple TV,Smart Plug,,,,1.897,0.046
2023-01-01 00:00:00,t31LKVOp,Master Fan,Smart Plug,,,,10.526,0.253
2023-01-01 00:00:00,3oFiPXfC,Breakfast,Smart Plug,,,,3.591,0.086
2023-01-01 00:00:00,1499ddba,Well pump,Pump,,,"Basement ",31.525,0.757
2023-01-01 00:00:00,SDu2VwQ0,Garage,Smart Plug,,,,6.725,0.161
2023-01-01 00:00:00,JyfesJqg,Radon Fan,Smart Plug,,,,58.892,1.413
2023-01-01 00:00:00,0lItmkfB,3-4 - Lamp,Smart Plug,,,,5.067,0.122
2023-01-01 00:00:00,pn13SX42,Master,Smart Plug,,,,2.440,0.059
2023-01-01 00:00:00,GYTzvaDJ,2-4 Nest,Smart Plug,,,,1.953,0.047
2023-01-01 00:00:00,jzdMRZnd,4-1 - Charger,Smart Plug,,,,0.937,0.022
2023-01-01 00:00:00,We6qUSnV,Hallway,Smart Plug,,,,0.530,0.013
2023-01-01 00:00:00,VWI3lNAn,Ians Room,Smart Plug,,,,0.763,0.018
2023-01-01 00:00:00,I7UsXi9b,Enterntainment,Smart Plug,,,,0.039,0.001
2023-01-01 00:00:00,zG0MI2H7,"2-1 Irrigation ",Smart Plug,,,,4.064,0.098
2023-01-01 00:00:00,9b3682d3,Microwave,Microwave,,,,1.990,0.048
2023-01-01 00:00:00,643mVu8e,Office Room,Smart Plug,,,,24.898,0.598
