Local time in East Boston (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,
29.04.2021 23:00,48.0,748.0,748.6,-2.0,89,Wind blowing from the north-northeast,5,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,1.6,45.0,7.0,3,,,,,
29.04.2021 20:00,49.0,750.0,750.6,-2.8,86,Wind blowing from the north-northeast,4,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,48.0,50.0,,,50-100,,,1.6,45.0,11.0,6,,,,,
29.04.2021 17:00,49.0,752.8,753.3,-1.8,90,Wind blowing from the east-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,3.2,46.0,7.0,3,,,,,
29.04.2021 14:00,49.0,754.6,755.2,-1.8,90,Wind blowing from the east-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,49.0,50.0,,,100-200,,,6.0,46.0,3.0,6,,,,,
29.04.2021 11:00,50.0,756.4,756.8,-0.5,86,Wind blowing from the north-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,2.4,46.0,Trace of precipitation,3,,,,,
29.04.2021 08:00,49.0,756.9,757.3,0.5,90,Wind blowing from the east,2,,,Sky obscured by fog and/or other meteorological phenomena.,Fog or ice fog in patches. ,,,48.0,,,,50-100,,,0.8,46.0,,,,,,,
29.04.2021 05:00,49.0,756.4,756.9,-0.5,83,Wind blowing from the north-east,2,,,100%, ,,,,,,,300-600,,,16.0,44.0,,,,,,,
29.04.2021 02:00,50.0,756.9,757.3,0.0,83,Wind blowing from the north-east,3,,,100%, ,,,49.0,57.0,,,1000-1500,,,16.0,45.0,0.3,6,,,,,
28.04.2021 23:00,50.0,756.9,757.5,-1.7,83,Wind blowing from the east-northeast,3,,,100%, ,,,,,,,1500-2000,,,16.0,45.0,0.3,3,,,,,
28.04.2021 20:00,52.0,758.6,759.0,1.5,75,Wind blowing from the north,5,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,50.0,58.0,,,600-1000,,,16.0,44.0,Trace of precipitation,6,,,,,
28.04.2021 17:00,52.0,757.1,757.7,-1.3,72,Wind blowing from the east-northeast,5,,,100%, ,,,,,,,2000-2500,,,16.0,43.0,,,,,,,
28.04.2021 14:00,56.0,758.4,758.9,-1.3,65,Wind blowing from the east-northeast,5,,,70 – 80%., ,,,51.0,58.0,,,1000-1500,,,16.0,44.0,,,,,,,
28.04.2021 11:00,54.0,759.7,760.0,0.6,77,Wind blowing from the east-northeast,4,,,70 – 80%., ,,,,,,,1000-1500,,,16.0,47.0,,,,,,,
28.04.2021 08:00,52.0,759.1,759.7,-0.3,80,Wind blowing from the east,3,,,100%, ,,,50.0,69.0,,,1500-2000,,,16.0,46.0,5.0,6,,,,,
28.04.2021 05:00,50.0,759.4,759.8,-0.3,83,Wind blowing from the south-southeast,2,,,100%, ,,,,,,,2000-2500,,,16.0,45.0,5.0,3,,,,,
28.04.2021 02:00,56.0,759.7,760.0,-0.2,51,Wind blowing from the south-southwest,2,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,45.0,68.0,,,2000-2500,,,16.0,38.0,Trace of precipitation,6,,,,,
27.04.2021 23:00,63.0,759.9,760.3,1.0,35,Wind blowing from the west-southwest,2,,,100%, ,,,,,,,1000-1500,,,16.0,35.0,,,,,,,
27.04.2021 20:00,67.0,758.9,759.3,0.3,28,Wind blowing from the west,3,,,70 – 80%., ,,,45.0,69.0,,,"2500 or more, or no clouds.",,,16.0,33.0,,,,,,,
27.04.2021 17:00,68.0,758.6,759.1,-1.6,23,Wind blowing from the west,4,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,29.0,,,,,,,
27.04.2021 14:00,60.0,760.2,760.6,-1.5,22,Wind blowing from the west-southwest,7,,,70 – 80%., ,,,48.0,61.0,,,"2500 or more, or no clouds.",,,16.0,21.0,,,,,,,
27.04.2021 11:00,52.0,761.7,762.1,-0.5,27,Wind blowing from the west,5,,,100%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,19.0,,,,,,,
27.04.2021 08:00,48.0,762.2,762.7,0.5,29,Wind blowing from the west,4,,,100%, ,,,45.0,57.0,,,"2500 or more, or no clouds.",,,16.0,17.0,,,,,,,
27.04.2021 05:00,46.0,761.7,762.1,0.8,34,Wind blowing from the west,5,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,19.0,,,,,,,
27.04.2021 02:00,47.0,760.9,761.5,-0.5,37,Wind blowing from the west,7,,,50%, ,,,47.0,53.0,,,"2500 or more, or no clouds.",,,16.0,22.0,,,,,,,
26.04.2021 23:00,49.0,761.4,761.9,1.5,35,Wind blowing from the north-west,5,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,22.0,,,,,,,
